,ALL INDIA LIST OF DISTRICTS,,,
,Phase 1 - 54 Districts - PAHAL (DBTL) launched on 15.11.2014,,,
S.No.,State,Districts,Phase,
76 Bihar,Nawada,Phase,2
77 Bihar,Patna,Phase,2
78 Bihar,Purnia,Phase,2
79 Bihar,Rohtas,Phase,2
80 Bihar,Saharsa,Phase,2
81 Bihar,Samastipur,Phase,2
82 Bihar,Saran,Phase,2
83 Bihar,Sheikhpura,Phase,2
84 Bihar,Sheohar,Phase,2
85 Bihar,Sitamarhi,Phase,2
86 Bihar,Siwan,Phase,2
87 Bihar,Supaul,Phase,2
88 Bihar,Vaishali,Phase,2
89 Bihar,West_Champaran,Phase,2
90 Chandigarh,Chandigarh,Phase,2
91 Chhattisgarh,Balod,Phase,2
92 Chhattisgarh,Baloda_Bazar,Phase,2
93 Chhattisgarh,Balrampur,Phase,2
94 Chhattisgarh,Bastar,Phase,2
95 Chhattisgarh,Bemetara,Phase,2
96 Chhattisgarh,Bijapur,Phase,2
97 Chhattisgarh,Bilaspur,Phase,2
98 Chhattisgarh,Dantewada,Phase,2
99 Chhattisgarh,Dhamtari,Phase,2
100 Chhattisgarh,Durg,Phase,2
101 Chhattisgarh,Gariyaband,Phase,2
102 Chhattisgarh,Janjgir-champa,Phase,2
103 Chhattisgarh,Jashpur,Phase,2
104 Chhattisgarh,Kabirdham,Phase,2

105 Chhattisgarh,Kanker,Phase,2
106 Chhattisgarh,Kondagaon,Phase,2
107 Chhattisgarh,Korba,Phase,2
108 Chhattisgarh,Koriya,Phase,2
109 Chhattisgarh,Mahasamund,Phase,2
110 Chhattisgarh,Mungeli,Phase,2
111 Chhattisgarh,Narayanpur,Phase,2
112 Chhattisgarh,Raigarh,Phase,2
113 Chhattisgarh,Raipur,Phase,2
114 Chhattisgarh,Rajnandgaon,Phase,2
115 Chhattisgarh,Sukma,Phase,2
116 Chhattisgarh,Surajpur,Phase,2
117 Chhattisgarh,Surguja,Phase,2
118 Dadra_and_Nagar_Haveli,Dadra_and_Nagar_Haveli,Phase,2
119 Daman_and_Diu,Daman,Phase,2
120 Delhi,Central_Delhi,Phase,2
121 Delhi,East_Delhi,Phase,2
122 Delhi,New_Delhi,Phase,2
123 Delhi,North_Delhi,Phase,2
124 Delhi,North_East_Delhi,Phase,2
